,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,boyband
213,NO MORE DREAM -Japanese Ver.-,bts,0.666,0.863,2,-4.403,1,0.408,0.0222,0.0,0.452,0.616,167.916,221293,4,True
214,進撃の防弾 -Japanese Ver.-,bts,0.645,0.972,11,-3.029,0,0.338,0.0422,0.0,0.178,0.57,118.101,247120,4,True
215,N.O -Japanese Ver.-,bts,0.602,0.86,7,-6.273,1,0.145,0.0269,0.0,0.101,0.588,146.975,211720,4,True
216,WAKE UP,bts,0.709,0.686,8,-4.797,1,0.0487,0.1,0.0,0.0865,0.734,91.016,352133,4,True
217,OUTRO.,bts,0.679,0.7,2,-5.724,1,0.079,0.696,1.67e-05,0.209,0.786,96.059,96493,4,True
218,Intro: What Am I to You,bts,0.475,0.899,0,-2.228,1,0.292,0.426,0.0,0.366,0.568,83.821,165121,4,True
219,호르몬 전쟁,bts,0.612,0.993,9,-1.895,1,0.24,0.116,0.0,0.307,0.488,98.004,265602,4,True
220,힙합성애자,bts,0.796,0.878,1,-3.325,1,0.185,0.171,0.0,0.234,0.795,144.0,257301,4,True
221,Let Me Know,bts,0.61,0.829,11,-4.84,0,0.0847,0.0111,0.0,0.0961,0.156,136.102,254973,4,True
222,Rain,bts,0.703,0.851,1,-4.918,0,0.144,0.031,0.0,0.354,0.315,89.958,264667,4,True
223,BTS Cypher Pt.3: Killer,bts,0.793,0.924,4,-3.017,0,0.321,0.0217,0.0,0.644,0.665,140.031,267783,4,True
224,Interlude: 뭐해,bts,0.783,0.683,4,-5.195,1,0.0895,0.0532,0.772,0.0529,0.55,82.996,41757,4,True
225,핸드폰 좀 꺼줄래,bts,0.459,0.856,6,-4.383,0,0.232,0.152,0.0,0.08,0.917,97.027,234063,4,True
226,이불킥,bts,0.556,0.897,2,-3.019,1,0.282,0.181,0.0,0.379,0.551,84.604,241762,4,True
227,24/7=Heaven,bts,0.642,0.903,2,-2.976,1,0.117,0.0635,0.0,0.33,0.573,96.068,226425,4,True
228,여기 봐,bts,0.863,0.854,4,-4.564,0,0.0893,0.0418,0.00152,0.0551,0.784,119.996,218887,4,True
229,2학년,bts,0.676,0.925,8,-2.451,1,0.111,0.00405,6.31e-06,0.279,0.798,163.952,235020,4,True
230,Outro: 그게 말이 돼?,bts,0.634,0.815,1,-4.324,1,0.0409,0.0714,0.0,0.146,0.553,103.041,172658,4,True
231,Miss Right,bts,0.718,0.835,1,-4.925,1,0.213,0.371,0.0,0.0764,0.855,92.97,241375,4,True
232,좋아요 - Slow Jam Remix,bts,0.532,0.673,10,-5.401,1,0.185,0.336,0.0,0.159,0.653,99.712,232692,4,True
233,Intro: Skool Luv Affair,bts,0.587,0.82,4,-2.701,0,0.428,0.0601,0.0,0.0599,0.671,93.841,178282,4,True
234,상남자 (Boy in Luv),bts,0.491,0.947,0,-2.252,1,0.306,0.00261,0.0,0.34,0.474,166.236,230778,4,True
235,Skit: Soulmate,bts,0.633,0.285,4,-15.35,1,0.841,0.898,0.0,0.905,0.749,124.219,92791,3,True
236,어디에서 왔는지,bts,0.654,0.867,7,-1.772,1,0.313,0.432,0.0,0.0745,0.919,85.078,240107,4,True
237,하루만,bts,0.685,0.713,6,-4.705,0,0.266,0.179,0.0,0.377,0.301,95.092,239470,4,True
238,Tomorrow,bts,0.399,0.887,1,-2.578,0,0.201,0.00946,0.0,0.281,0.627,128.119,261575,4,True
239,BTS Cypher Pt.2: Triptych,bts,0.585,0.98,5,-0.826,1,0.37,0.127,0.0,0.692,0.837,141.945,288771,4,True
240,등골브레이커,bts,0.679,0.927,0,-1.058,1,0.15,0.164,0.0,0.437,0.861,93.989,238530,4,True
241,Jump,bts,0.495,0.974,7,-0.947,0,0.282,0.0349,0.0,0.44,0.763,102.077,236489,4,True
242,Outro: Propose,bts,0.397,0.847,2,-2.488,1,0.159,0.467,0.0,0.205,0.514,173.733,122514,4,True
243,"Intro: O!RUL8,2?",bts,0.455,0.9,7,-5.029,1,0.393,0.272,0.0,0.0945,0.188,150.14,70531,4,True
244,We On,bts,0.801,0.797,2,-4.319,0,0.163,0.0405,2.39e-06,0.115,0.801,97.009,230885,4,True
245,Skit: R U Happy Now?,bts,0.535,0.382,1,-18.76,1,0.645,0.852,0.0,0.311,0.609,86.969,148073,4,True
246,If I Ruled the World,bts,0.744,0.725,7,-6.29,1,0.112,0.0434,0.0,0.296,0.729,95.981,247450,4,True
247,Coffee,bts,0.656,0.798,0,-6.608,1,0.103,0.00862,0.0,0.321,0.573,92.031,260433,4,True
248,BTS Cypher Pt.1,bts,0.751,0.903,2,-5.413,1,0.354,0.539,0.0,0.343,0.858,96.548,131192,4,True
249,Attack on Bangtan,bts,0.72,0.962,11,-2.555,0,0.268,0.2,0.0,0.165,0.667,118.025,246526,4,True
250,Paldogangsan,bts,0.564,0.945,11,-3.11,0,0.243,0.0789,0.0,0.0873,0.871,105.018,205061,4,True
251,Outro: Luv in Skool,bts,0.693,0.392,5,-6.615,1,0.0439,0.0508,0.0,0.144,0.472,131.863,86045,4,True
252,Intro: 2 Cool 4 Skool,bts,0.894,0.835,8,-6.249,1,0.245,0.179,0.266,0.179,0.532,94.871,63787,4,True
253,We Are Bulletproof Pt.2,bts,0.753,0.95,8,-5.09,0,0.16,0.0104,6.32e-06,0.134,0.868,144.02,223933,4,True
254,Skit: Circle Room Talk,bts,0.598,0.356,9,-18.009,1,0.802,0.912,0.0,0.913,0.817,121.045,131907,3,True
255,Interlude,bts,0.914,0.276,1,-13.392,0,0.319,0.494,0.762,0.392,0.854,125.897,52440,4,True
256,Like,bts,0.737,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939,231893,4,True
257,Outro: Circle Room Cypher,bts,0.688,0.515,7,-11.608,1,0.523,0.536,0.0,0.189,0.852,94.077,323640,4,True
258,Bad Decisions (with BTS & Snoop Dogg),bts,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,172714,4,True
259,Bad Decisions (with BTS & Snoop Dogg) - Instrumental,bts,0.815,0.671,0,-5.059,1,0.073,0.000388,0.746,0.267,0.821,120.023,172714,4,True
260,Left and Right (Feat. Jung Kook of BTS),bts,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4,True
261,Left and Right (feat. Jung Kook of BTS) - Instrumental,bts,0.899,0.464,2,-8.003,1,0.0667,0.504,0.9,0.0753,0.654,101.014,152117,4,True
262,Butter (Holiday Remix),bts,0.698,0.838,8,-3.553,1,0.0529,0.00188,0.0,0.113,0.87,110.034,161894,4,True
263,My Universe - David Guetta Remix,bts,0.436,0.948,1,-5.515,0,0.0558,0.0974,0.00375,0.14,0.696,122.609,199136,4,True
264,My Universe - Galantis Remix,bts,0.596,0.915,4,-4.711,1,0.0682,0.0949,1.7e-06,0.12,0.629,120.024,224908,4,True
265,My Universe,bts,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4,True
266,My Universe - Instrumental,bts,0.617,0.594,1,-7.928,0,0.0366,0.0019,0.911,0.144,0.177,105.013,228000,4,True
267,My Universe - SUGA's Remix,bts,0.558,0.832,4,-5.904,1,0.0435,0.00119,0.0,0.0637,0.5,107.043,188234,4,True
268,Butter - Megan Thee Stallion Remix,bts,0.739,0.588,8,-4.971,1,0.136,0.00308,0.0,0.109,0.774,109.958,164457,4,True
269,Permission to Dance,bts,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,187585,4,True
270,Permission to Dance - R&B Remix,bts,0.662,0.597,9,-5.569,1,0.031,0.0726,0.0,0.103,0.351,120.021,216157,4,True
271,Permission to Dance - Instrumental,bts,0.75,0.655,11,-7.137,0,0.0495,0.000201,0.785,0.0689,0.406,125.026,187585,4,True
272,Butter (Instrumental),bts,0.429,0.387,1,-7.486,1,0.0753,0.000178,0.802,0.142,0.41,109.893,162147,4,True
273,Permission to Dance (Instrumental),bts,0.75,0.655,11,-7.137,0,0.0495,0.000201,0.785,0.0689,0.406,125.026,187585,4,True
274,Butter - Hotter Remix,bts,0.702,0.748,8,-5.215,1,0.0489,0.00223,0.0,0.23,0.789,110.028,166962,4,True
275,Butter - Sweeter Remix,bts,0.728,0.551,5,-5.375,0,0.0577,0.0674,0.0,0.335,0.792,110.059,161935,4,True
276,Butter - Cooler Remix,bts,0.651,0.809,8,-3.667,1,0.132,0.00632,0.0,0.321,0.893,110.045,161633,4,True
277,Butter - Instrumental,bts,0.429,0.387,1,-7.486,1,0.0753,0.000178,0.802,0.142,0.41,109.893,162147,4,True
278,Film out,bts,0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032,214621,4,True
279,Dynamite - Holiday Remix,bts,0.676,0.875,4,-1.645,1,0.0769,0.0185,0.0,0.0524,0.595,113.998,213315,4,True
280,Savage Love (Laxed – Siren Beat) [BTS Remix],bts,0.758,0.598,0,-5.695,0,0.0868,0.16,0.0,0.295,0.658,149.836,184905,4,True
281,Savage Love (Laxed – Siren Beat) [BTS Remix] (Instrumental),bts,0.782,0.404,0,-8.549,0,0.171,0.0491,0.778,0.286,0.311,149.98,184905,4,True
282,Dynamite - Instrumental,bts,0.861,0.658,11,-6.966,1,0.05,0.00903,0.803,0.0443,0.625,114.0,198770,4,True
283,Dynamite - Slow Jam Remix,bts,0.653,0.683,4,-3.82,1,0.0398,0.36,1e-06,0.324,0.534,113.977,199690,4,True
284,Dynamite - Midnight Remix,bts,0.782,0.795,4,-4.167,1,0.122,0.0689,0.0,0.109,0.402,114.036,196509,4,True
285,Dynamite - Retro Remix,bts,0.647,0.915,4,-2.031,1,0.148,0.0659,0.0,0.327,0.776,113.936,208404,4,True
286,Dynamite - Bedroom Remix,bts,0.756,0.745,1,-3.263,0,0.0341,0.0631,0.0,0.221,0.726,109.063,207926,4,True
287,Dynamite - Acoustic Remix,bts,0.656,0.889,1,-5.136,0,0.203,0.0228,7.56e-06,0.366,0.575,113.943,197994,4,True
288,Dynamite - EDM Remix,bts,0.707,0.838,1,-4.732,0,0.0599,0.0019,0.444,0.0961,0.318,122.985,198939,4,True
289,Dynamite - Tropical Remix,bts,0.729,0.896,1,-3.308,0,0.0667,0.0295,1.52e-06,0.234,0.62,114.035,197101,4,True
290,Dynamite - Poolside Remix,bts,0.686,0.877,1,-4.854,0,0.143,0.0089,0.000869,0.208,0.406,123.91,182592,4,True
291,SUGA's Interlude,bts,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836,138205,4,True
292,Make It Right (feat. Lauv) - Acoustic Remix,bts,0.701,0.557,7,-5.756,1,0.149,0.00486,0.0,0.252,0.508,100.22,255542,4,True
293,Make It Right (feat. Lauv) - EDM Remix,bts,0.648,0.741,7,-6.655,1,0.312,0.00353,0.0,0.0932,0.24,106.0,246322,4,True
294,Make It Right (feat. Lauv),bts,0.583,0.68,7,-7.809,1,0.422,0.0304,0.0,0.189,0.343,97.568,226321,4,True
295,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,bts,0.89,0.513,1,-5.996,1,0.154,0.0706,0.0,0.102,0.61,136.02,114133,4,True
296,All Night (BTS World Original Soundtrack) [Pt. 3],bts,0.725,0.706,5,-4.766,1,0.121,0.193,0.0,0.109,0.667,120.042,216874,4,True
297,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],bts,0.804,0.498,8,-7.387,0,0.0571,0.339,0.000236,0.18,0.704,105.008,205020,4,True
298,Dream Glow (BTS World Original Soundtrack) - Pt. 1,bts,0.735,0.74,0,-3.837,0,0.0519,0.0967,0.0,0.101,0.541,141.948,187458,4,True
299,IDOL - Stadium Remix,bts,0.64,0.817,1,-4.801,0,0.123,0.00635,0.0,0.277,0.61,125.983,253360,4,True
300,FAKE LOVE - Japanese ver. / Remix,bts,0.558,0.762,2,-4.148,0,0.0604,0.032,0.0,0.283,0.37,154.875,246427,4,True
301,Waste It On Me,bts,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,192537,4,True
302,MIC Drop (feat. Desiigner) [Steve Aoki Remix],bts,0.612,0.841,10,-4.332,0,0.219,0.0157,0.0,0.23,0.644,169.915,238726,4,True
303,Shingeki no Boudan - Sonpub Remix,bts,0.718,0.91,4,-3.125,0,0.181,0.00244,0.0,0.231,0.725,118.104,242467,4,True
304,Miss Right - Japanese Ver.,bts,0.693,0.806,1,-4.975,1,0.256,0.42,0.0,0.106,0.873,92.966,242093,4,True
305,Come Back Home,bts,0.647,0.881,11,-4.42,0,0.0765,0.00154,1.12e-06,0.113,0.456,100.001,244588,4,True
306,DOPE -超ヤベー!-(Japanese Ver.),bts,0.579,0.901,10,-3.572,0,0.231,0.0313,0.0,0.477,0.539,154.071,241680,4,True
307,Dope - Chou Yabee! - - Japanese Ver.,bts,0.579,0.901,10,-3.572,0,0.231,0.0313,0.0,0.477,0.539,154.071,241680,4,True
308,Hormone Sensou - Japanese Ver.,bts,0.634,0.996,9,-1.108,1,0.254,0.161,0.0,0.331,0.401,97.976,268400,4,True
309,Let Me Know - Japanese Ver.,bts,0.442,0.831,11,-4.32,0,0.272,0.0285,0.0,0.275,0.245,135.998,256533,4,True
310,ホルモン戦争(Japanese Ver.),bts,0.634,0.996,9,-1.108,1,0.254,0.161,0.0,0.331,0.401,97.976,268400,4,True
311,Let Me Know(Japanese Ver.),bts,0.442,0.831,11,-4.32,0,0.272,0.0285,0.0,0.275,0.245,135.998,256533,4,True
312,進撃の防弾(SONPUB REMIX),bts,0.718,0.91,4,-3.125,0,0.181,0.00244,0.0,0.231,0.725,118.104,242467,4,True
313,MISS RIGHT -Japanese Ver.-,bts,0.693,0.806,1,-4.975,1,0.256,0.42,0.0,0.106,0.873,92.966,242093,4,True
314,BOY IN LUV - Japanese Ver.,bts,0.563,0.903,4,-5.089,0,0.144,0.00113,0.0,0.242,0.578,82.973,232507,4,True
315,JUST ONE DAY - Japanese Ver.,bts,0.694,0.579,9,-7.567,1,0.232,0.0615,0.0,0.0901,0.34,94.937,241040,4,True
316,Please Be Mine,jonas,0.594,0.464,0,-7.898,1,0.034,0.306,0.0,0.187,0.545,155.921,193867,4,True
317,S.O.S.,jonas,0.577,0.696,7,-3.858,1,0.065,0.000702,0.0,0.172,0.714,137.102,153040,4,True
318,Mandy,jonas,0.442,0.961,1,-2.914,1,0.0928,3.51e-05,3.59e-05,0.0619,0.405,103.005,168480,4,True
319,Year 3000,jonas,0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,201813,4,True
320,Hold On,jonas,0.468,0.892,11,-3.555,1,0.132,0.00399,0.0,0.368,0.817,149.162,164973,4,True
321,Lovebug,jonas,0.597,0.5,4,-6.216,1,0.0579,0.127,0.0,0.214,0.522,79.071,220693,4,True
322,Burnin' Up,jonas,0.667,0.954,2,-3.462,1,0.0817,0.0296,0.0,0.331,0.807,114.03,175093,4,True
323,I Am What I Am,jonas,0.369,0.964,6,-2.827,1,0.143,0.00692,0.0,0.322,0.549,204.169,130053,4,True
324,6 Minutes,jonas,0.588,0.792,7,-3.786,1,0.0419,0.0014,2.18e-06,0.0689,0.878,148.007,186480,4,True
325,Goodnight and Goodbye,jonas,0.63,0.928,0,-3.231,1,0.0715,0.0511,0.0,0.163,0.594,104.974,151000,4,True
326,Video Girl,jonas,0.434,0.942,4,-4.224,0,0.222,0.0042,0.0,0.136,0.732,182.103,173907,4,True
327,Rose Garden,jonas,0.855,0.474,0,-6.294,1,0.0285,0.0976,0.000437,0.0923,0.865,98.24,214640,4,True
328,Just In Love,jonas,0.693,0.868,5,-5.696,0,0.0363,0.00286,0.0,0.0739,0.664,99.993,207440,4,True
329,Cake By The Ocean,jonas,0.77,0.75,4,-5.44,0,0.0533,0.166,0.0,0.0434,0.886,119.006,219147,4,True
330,Jealous,jonas,0.697,0.696,11,-3.845,0,0.0915,0.0101,0.0,0.324,0.375,93.014,223973,4,True
331,Sucker,jonas,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027,4,True
332,Cool,jonas,0.683,0.598,0,-5.487,1,0.0423,0.00873,0.0,0.156,0.62,78.969,167107,4,True
333,Only Human,jonas,0.795,0.496,0,-5.883,1,0.0722,0.108,0.0,0.0645,0.874,94.01,183000,4,True
334,I Believe,jonas,0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,99.019,217533,4,True
335,Used To Be,jonas,0.71,0.517,1,-6.85,1,0.0448,0.172,0.0,0.0786,0.176,145.946,184987,4,True
336,Every Single Time,jonas,0.756,0.685,11,-5.176,0,0.0446,0.135,0.0,0.123,0.91,151.988,212093,4,True
337,Don't Throw it Away,jonas,0.731,0.858,1,-5.082,0,0.0981,0.0245,0.0,0.0852,0.732,102.02,172560,4,True
338,Love Her,jonas,0.74,0.337,8,-6.039,1,0.0282,0.178,0.0,0.0944,0.56,103.002,193133,4,True
339,Happy When I'm Sad,jonas,0.782,0.793,7,-7.054,1,0.0399,0.000199,0.000215,0.306,0.906,100.987,158467,4,True
340,Trust,jonas,0.806,0.559,0,-6.329,1,0.0588,0.0248,1.63e-05,0.135,0.671,146.041,180600,3,True
341,Strangers,jonas,0.594,0.842,1,-4.892,1,0.072,0.0312,0.0,0.071,0.573,129.986,233853,4,True
342,Hesitate,jonas,0.622,0.485,2,-7.259,1,0.0322,0.227,0.0,0.0889,0.236,118.051,208840,4,True
343,Rollercoaster,jonas,0.697,0.58,11,-7.986,0,0.0451,0.0583,0.0,0.393,0.467,123.977,181813,4,True
344,Comeback,jonas,0.55,0.553,0,-7.34,1,0.0403,0.0913,0.0,0.111,0.185,145.009,155680,4,True
345,Feelin' Alive,jonas,0.574,0.833,11,-4.89,1,0.0373,0.0155,0.0,0.268,0.297,122.022,193560,4,True
346,L.A. Baby (Where Dreams Are Made Of),jonas,0.344,0.882,4,-4.137,1,0.0577,0.00485,0.0,0.338,0.344,144.843,194600,4,True
347,Your Biggest Fan,jonas,0.723,0.62,0,-5.915,1,0.0685,0.0389,0.0,0.263,0.844,91.975,179907,4,True
348,Critical,jonas,0.489,0.595,3,-6.747,1,0.0437,0.0162,0.0,0.101,0.171,119.985,215000,4,True
349,Hey You,jonas,0.495,0.85,2,-4.086,1,0.0504,0.00376,0.0,0.111,0.605,87.014,169333,4,True
350,Things Will Never Be the Same,jonas,0.498,0.832,0,-4.72,1,0.0426,0.00746,0.0,0.427,0.435,144.988,223533,4,True
351,Fall,jonas,0.369,0.861,2,-3.511,1,0.0619,0.0865,0.0,0.251,0.463,162.072,203200,4,True
352,Summer Rain,jonas,0.516,0.74,7,-4.727,1,0.0445,0.0179,0.0,0.33,0.71,168.038,253707,4,True
353,Drive,jonas,0.564,0.899,2,-2.684,1,0.0509,0.0134,0.0,0.0947,0.809,89.974,225293,4,True
354,Invisible,jonas,0.559,0.887,11,-2.85,0,0.043,0.193,0.0,0.249,0.631,113.011,174027,4,True
355,Make It Right,jonas,0.469,0.612,7,-5.788,1,0.0303,0.51,0.0,0.282,0.469,77.057,224667,4,True
356,Chillin' In the Summertime,jonas,0.591,0.828,0,-4.431,1,0.0329,0.0283,0.0,0.591,0.61,95.02,206360,4,True
357,Set This Party Off,jonas,0.571,0.891,2,-3.607,1,0.0417,0.0167,0.0,0.171,0.726,95.099,176560,4,True
358,World War III,jonas,0.616,0.87,7,-4.589,1,0.0431,0.00685,0.0,0.146,0.858,100.063,191720,4,True
359,Paranoid,jonas,0.636,0.85,10,-4.469,1,0.0409,0.00121,0.0,0.129,0.75,120.995,218267,4,True
360,Fly With Me,jonas,0.481,0.926,0,-3.464,1,0.0576,0.00561,0.0,0.119,0.523,149.957,234147,4,True
361,Poison Ivy,jonas,0.482,0.831,7,-3.278,1,0.0479,0.00559,0.0,0.0976,0.502,169.994,246600,4,True
362,Hey Baby,jonas,0.479,0.872,6,-4.712,0,0.0612,0.00317,0.0,0.296,0.645,160.604,197813,3,True
363,Before The Storm - featuring Miley Cyrus,jonas,0.401,0.715,2,-5.402,1,0.0379,0.00582,0.0,0.117,0.327,149.411,266467,4,True
364,What Did I Do To Your Heart,jonas,0.656,0.905,9,-3.628,1,0.0492,0.0246,9.5e-05,0.4,0.809,130.009,197027,4,True
365,Much Better,jonas,0.656,0.835,6,-4.068,1,0.0396,0.000604,0.00449,0.317,0.736,120.008,274293,4,True
366,Black Keys,jonas,0.462,0.471,1,-6.517,1,0.026,0.0147,0.0,0.147,0.353,75.033,228467,4,True
367,Don't Charge Me For The Crime – featuring Common,jonas,0.505,0.887,9,-5.026,1,0.113,0.00486,0.0,0.336,0.739,149.812,237480,4,True
368,Turn Right,jonas,0.471,0.322,8,-10.556,1,0.028,0.521,1.97e-05,0.118,0.28,88.107,167987,4,True
369,Don't Speak,jonas,0.54,0.87,7,-4.834,1,0.0289,0.000311,5.08e-06,0.124,0.49,98.943,229827,4,True
370,Keep It Real,jonas,0.511,0.965,4,-3.606,1,0.0923,0.00302,5.95e-06,0.393,0.696,175.021,171053,4,True
371,That's Just The Way We Roll - Live Show / Event,jonas,0.166,0.971,7,-3.203,1,0.103,0.0123,0.000143,0.596,0.194,149.829,246573,4,True
372,Hold On - Live Show / Event,jonas,0.409,0.988,11,-2.996,1,0.0699,0.0504,0.0,0.531,0.369,149.119,167173,4,True
373,BB Good - Live Show / Event,jonas,0.506,0.995,4,-2.701,1,0.0952,0.0684,0.0319,0.861,0.306,135.009,255080,4,True
374,Video Girl - Live Show / Event,jonas,0.389,0.982,11,-2.908,0,0.119,0.0175,5.91e-05,0.853,0.395,90.865,182973,4,True
375,This Is Me - Live Show / Event,jonas,0.358,0.975,1,-2.09,1,0.0611,0.0632,4.72e-05,0.971,0.419,91.06,202173,4,True
376,Hello Beautiful - Live Show / Event,jonas,0.16,0.771,4,-6.408,1,0.0507,0.423,0.00394,0.832,0.34,86.819,193093,4,True
377,Pushin' Me Away - Live Show / Event,jonas,0.388,0.977,7,-3.583,1,0.0815,0.0406,8.23e-06,0.64,0.195,162.036,219867,4,True
378,Should've Said No - Live Show / Event,jonas,0.355,0.984,4,-2.549,0,0.0672,0.015,4.55e-06,0.875,0.338,168.133,253800,4,True
379,I'm Gonna Getcha Good - Live Show / Event,jonas,0.54,0.972,10,-3.421,1,0.0744,0.192,0.0,0.983,0.524,130.034,240987,4,True
380,S.O.S. - Live Show / Event,jonas,0.464,0.985,7,-3.288,1,0.11,0.0315,1.98e-05,0.954,0.44,137.001,150187,4,True
381,Burnin' Up - Live Show / Event,jonas,0.518,0.993,11,-3.052,0,0.166,0.0283,0.0,0.93,0.165,113.986,342320,4,True
382,Tonight - Live Show / Event,jonas,0.35,0.986,4,-3.083,1,0.0659,0.000629,8.56e-06,0.789,0.407,155.965,210773,4,True
383,Live To Party - Live Show / Event,jonas,0.326,0.993,11,-4.034,1,0.088,0.03,1.96e-06,0.658,0.414,176.019,188227,4,True
384,Love Is On Its Way - Live Show / Event,jonas,0.192,0.637,9,-6.241,1,0.0485,0.226,0.0,0.24,0.102,175.081,223587,3,True
385,That's Just The Way We Roll - The 3D Concert Experience,jonas,0.166,0.971,7,-3.203,1,0.103,0.0123,0.000143,0.596,0.194,149.829,246573,4,True
386,Hold On - The 3D Concert Experience,jonas,0.409,0.988,11,-2.996,1,0.0699,0.0504,0.0,0.531,0.369,149.119,167173,4,True
387,BB Good - The 3D Concert Experience,jonas,0.506,0.995,4,-2.701,1,0.0952,0.0684,0.0319,0.861,0.306,135.009,255080,4,True
388,Video Girl - The 3D Concert Experience,jonas,0.389,0.982,11,-2.908,0,0.119,0.0175,5.91e-05,0.853,0.395,90.865,182973,4,True
389,This Is Me - The 3D Concert Experience,jonas,0.358,0.975,1,-2.09,1,0.0611,0.0632,4.72e-05,0.971,0.419,91.06,202173,4,True
390,Hello Beautiful - The 3D Concert Experience,jonas,0.16,0.771,4,-6.408,1,0.0507,0.423,0.00394,0.832,0.34,86.819,193093,4,True
391,Pushin' Me Away - The 3D Concert Experience,jonas,0.388,0.977,7,-3.583,1,0.0815,0.0406,8.23e-06,0.64,0.195,162.036,219867,4,True
392,Should've Said No - The 3D Concert Experience,jonas,0.355,0.984,4,-2.549,0,0.0672,0.015,4.55e-06,0.875,0.338,168.133,253800,4,True
393,I'm Gonna Getcha Good - The 3D Concert Experience,jonas,0.54,0.972,10,-3.421,1,0.0744,0.192,0.0,0.983,0.524,130.034,240987,4,True
394,S.O.S. - The 3D Concert Experience,jonas,0.464,0.985,7,-3.288,1,0.11,0.0315,1.98e-05,0.954,0.44,137.001,150187,4,True
395,Burnin' Up - The 3D Concert Experience,jonas,0.518,0.993,11,-3.052,0,0.166,0.0283,0.0,0.93,0.165,113.986,342320,4,True
396,Tonight - The 3D Concert Experience,jonas,0.361,0.979,4,-3.052,1,0.0677,0.000612,1.08e-05,0.387,0.524,155.917,210800,4,True
397,Live To Party - The 3D Concert Experience,jonas,0.326,0.993,11,-4.034,1,0.088,0.03,1.96e-06,0.658,0.414,176.019,188227,4,True
398,Love Is On Its Way - The 3D Concert Experience,jonas,0.192,0.637,9,-6.241,1,0.0485,0.226,0.0,0.24,0.102,175.081,223587,3,True
399,BB Good,jonas,0.656,0.901,4,-5.213,1,0.0398,0.0298,0.00014,0.0546,0.892,135.007,176240,4,True
400,Shelf,jonas,0.566,0.758,2,-5.082,1,0.0358,0.00116,8.03e-06,0.329,0.502,111.986,228507,4,True
401,One Man Show,jonas,0.402,0.957,5,-4.786,0,0.112,0.000998,0.000138,0.293,0.554,171.937,188493,4,True
402,Tonight,jonas,0.464,0.954,4,-4.536,1,0.083,0.000528,3.18e-05,0.313,0.758,155.899,209707,4,True
403,Can't Have You,jonas,0.555,0.861,2,-5.044,1,0.0412,0.0125,0.0,0.129,0.451,119.985,268040,4,True
404,Pushin' Me Away,jonas,0.473,0.903,7,-6.123,1,0.0679,0.0141,1.11e-06,0.195,0.452,161.965,183120,4,True
405,Sorry,jonas,0.446,0.732,5,-4.112,1,0.0293,0.119,0.0,0.0762,0.452,159.943,192413,4,True
406,Got Me Going Crazy,jonas,0.508,0.915,9,-4.844,1,0.0683,0.00194,3.63e-06,0.0718,0.748,157.089,155947,4,True
407,A Little Bit Longer,jonas,0.306,0.617,0,-4.812,1,0.033,0.0228,0.0,0.231,0.291,156.362,205013,4,True
408,That's Just The Way We Roll,jonas,0.558,0.855,2,-3.374,1,0.0386,0.0048,1.98e-06,0.123,0.768,150.039,173000,4,True
409,Hello Beautiful,jonas,0.241,0.375,4,-9.304,1,0.0319,0.799,3.83e-06,0.113,0.286,83.096,149053,1,True
410,Still In Love With You,jonas,0.535,0.94,9,-2.844,1,0.0514,0.000199,0.0,0.12,0.713,78.49,190413,4,True
411,Australia,jonas,0.492,0.881,7,-3.518,1,0.0756,0.00272,1.16e-06,0.0842,0.517,162.045,213013,4,True
412,Games,jonas,0.504,0.918,11,-3.133,1,0.0668,0.00154,1.32e-06,0.12,0.747,155.009,201307,4,True
413,When You Look Me In The Eyes,jonas,0.399,0.767,2,-3.732,1,0.0328,0.0242,0.0,0.306,0.507,135.943,249693,4,True
414,Inseparable,jonas,0.397,0.977,1,-2.616,1,0.0811,0.00044,0.000393,0.0993,0.565,173.969,170187,4,True
415,Just Friends,jonas,0.437,0.907,4,-3.244,1,0.0959,6.63e-05,0.0,0.144,0.454,150.895,187827,4,True
416,Hollywood,jonas,0.506,0.93,0,-3.229,1,0.118,0.00067,0.0,0.129,0.594,164.945,169040,4,True
417,Take A Breath,jonas,0.543,0.894,0,-4.296,1,0.068,0.000899,0.0,0.056,0.477,144.007,199293,4,True
